Country,Mentioned,Not mentioned,Sum
Azerbaijan,1543,459,2002
Argentina,599,480,1079
Australia,735,1313,2048
Belarus,1757,335,2092
Chile,168,832,1000
China,109,410,519
Colombia,1082,4943,6025
Georgia,1644,364,2008
India,1461,579,2040
Japan,257,797,1054
New Zealand,446,755,1201
Nigeria,1653,343,1996
Pakistan,389,344,733
Poland,184,969,1153
South Africa,1717,1218,2935
Spain,779,431,1210
Sweden,67,942,1009
Turkey,1322,585,1907
Ukraine,2341,470,2811
United States,809,733,1542
