Country,Mentioned,Not mentioned,Sum
Azerbaijan,277,1725,2002
Argentina,278,801,1079
Australia,540,1508,2048
Belarus,178,1914,2092
Chile,243,757,1000
China,332,1168,1500
Colombia,1136,4889,6025
Georgia,206,1802,2008
India,220,182,402
Japan,273,781,1054
New Zealand,334,867,1201
Nigeria,121,1875,1996
Pakistan,51,682,733
Poland,127,1026,1153
South Africa,311,2624,2935
Spain,263,948,1211
Sweden,395,614,1009
Turkey,422,1486,1908
Ukraine,314,2497,2811
United States,409,1133,1542
