Country,Most people can be trusted,Need to be very careful,Don't know,Sum
Azerbaijan,389,1506,107,2002
Argentina,184,868,27,1079
Australia,808,1217,23,2048
Belarus,481,1517,94,2092
Chile,214,762,24,1000
China,756,689,55,1500
Colombia,646,5335,44,6025
Georgia,355,1542,111,2008
India,670,1099,271,2040
Japan,419,571,64,1054
New Zealand,570,592,16,1178
Nigeria,327,1517,4,1848
Pakistan,149,577,7,733
Poland,195,894,64,1153
South Africa,516,2315,105,2936
Spain,347,820,44,1211
Sweden,571,386,52,1009
Turkey,123,1773,11,1907
Ukraine,809,1803,199,2811
United States,539,974,29,1542
