Country,Mentioned,Not mentioned,Sum
Argentina,301,979,1280
Chile,429,771,1200
China,353,647,1000
India,562,144,706
Japan,470,892,1362
Jordan,66,1157,1223
Morocco,84,1166,1250
Nigeria,220,1802,2022
Pakistan,147,1853,2000
South Africa,600,2401,3001
Spain,304,905,1209
Sweden,410,604,1014
Turkey,784,2618,3402
Egypt,463,2537,3000
United States,361,839,1200
