Country,Mentioned,Not mentioned,Sum
Argentina,253,749,1002
Australia,612,809,1421
Brazil,400,1100,1500
Chile,257,743,1000
China,504,1487,1991
Georgia,146,1354,1500
Germany,816,1248,2064
Ghana,263,1271,1534
India,509,1492,2001
Japan,338,758,1096
Jordan,214,986,1200
Morocco,314,886,1200
New Zealand,335,619,954
Poland,202,798,1000
Rwanda,272,1235,1507
South Africa,467,2521,2988
Spain,244,956,1200
Sweden,573,430,1003
Thailand,437,1097,1534
Turkey,301,1045,1346
Ukraine,280,720,1000
Egypt,321,273,594
United States,396,853,1249
