Country,Mentioned,Not mentioned,Sum
Azerbaijan,134,868,1002
Argentina,323,707,1030
Australia,587,890,1477
Brazil,362,1124,1486
Belarus,186,1349,1535
Chile,222,778,1000
China,390,191,581
Colombia,314,1198,1512
Ecuador,302,900,1202
Georgia,110,1092,1202
Germany,604,1441,2045
Ghana,187,1365,1552
India,2821,1257,4078
Japan,773,167,940
Jordan,177,1023,1200
Morocco,287,913,1200
New Zealand,305,536,841
Nigeria,265,1494,1759
Pakistan,374,826,1200
Poland,162,804,966
Rwanda,509,1018,1527
South Africa,991,254,1245
Spain,295,894,1189
Sweden,564,642,1206
Thailand,279,921,1200
Tunisia,181,1024,1205
Turkey,453,1152,1605
Ukraine,196,1304,1500
Egypt,94,1429,1523
United States,680,1552,2232
