Country,Most people can be trusted,Need to be very careful,Don´t know,Sum
Azerbaijan,148,822,32,1002
Argentina,198,798,26,1022
Australia,760,707,0,1467
Brazil,105,137,11,253
Belarus,500,920,100,1520
Chile,124,847,10,981
China,1388,811,60,2259
Colombia,62,1439,1,1502
Ecuador,86,1114,1,1201
Georgia,106,1087,9,1202
Germany,913,11,27,951
Ghana,78,1474,0,1552
India,680,3176,222,4078
Japan,878,1387,178,2443
Jordan,159,1041,0,1200
Morocco,148,1033,8,1189
New Zealand,465,354,8,827
Nigeria,264,1495,0,1759
Pakistan,266,886,19,1171
Poland,215,730,21,966
Rwanda,254,1273,0,1527
South Africa,822,2689,20,3531
Spain,226,927,29,1182
Sweden,725,449,19,1193
Thailand,385,800,0,1185
Tunisia,187,982,36,1205
Turkey,187,1331,54,1572
Ukraine,347,1054,74,1475
Egypt,327,1196,0,1523
United States,777,1434,0,2211
